1,Apple juice,2.43
2,Apples,4.77
3,Baby food,1.72
4,Bacon,8.55
5,Baked beans,1.51
6,Bananas,1.63
7,Blade roast,19.53
8,Bread,3.00
9,Butter,5.67
10,Canned salmon,6.40
11,Carrots,2.46
12,Chicken,8.04
13,Coffee,5.61
14,Coffee,7.10
15,Cooking or salad oil,4.45
16,Corn flakes,6.38
17,Deodorant,4.53
18,Eggs,3.87
19,Evaporated milk,1.96
20,Flour,4.65
21,French fried potatoes,3.43
22,Ground beef,12.52
23,Homogenized milk,6.53
24,Ketchup,4.17
25,Macaroni,1.75
26,Mushrooms,10.42
27,Onions,2.37
28,Orange juice,4.58
29,Oranges,4.12
30,Partly skimmed milk,5.90
31,Peanut butter,2.89
32,Pork chops,12.52
33,Potatoes,10.33
34,Prime rib roast,43.16
35,Processed cheese slices,2.77
36,Regular,156.8
37,Round steak,19.79
38,Shampoo,4.31
39,Sirloin steak,26.39
40,Soda crackers,3.67
41,Soup,1.28
42,Stewing beef,18.59
43,Sugar,2.67
44,Tomato juice,2.94
45,Tomatoes,1.62
46,Toothpaste,3.49
47,Wieners,5.58
